mid,cpu_cap,ram_cap,cpu_alloc,ram_alloc,cpu_req,ram_req,cpu_remain,ram_remain
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
0,2,4,1930,2873,1244,1531,686,1342
1,4,8,3920,6176,1587,1896,2333,4280
2,6,8,5915,6175,4568,2887,1347,3288
