mid,cpu,ram,source
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
0,4,6,host_capacity
1,2,4,host_capacity
2,2,4,host_capacity
