mid,cpu_cap,ram_cap,cpu_alloc,ram_alloc,cpu_req,ram_req,cpu_remain,ram_remain
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
0,2,4,1930,2873,259,591,1671,2282
1,4,8,3920,6176,3072,3836,848,2340
2,6,8,5915,6175,2568,1887,3347,4288
