Model Name, File Name, File Size (bytes), Inference Time (ms), E2E Delay (ms)
yolov5n.pt,videos/10.jpg,9192,121.7,9964.489752000
yolov5n.pt,videos/12.jpg,11641,111.7,5487.300753000
yolov5n.pt,videos/13.jpg,9674,94.4,5485.081853000
yolov5n.pt,videos/17.jpg,14140,142.0,5709.479477000
yolov5n.pt,videos/18.jpg,8091,97.3,5545.098465000
yolov5n.pt,videos/19.jpg,9571,149.0,5726.619640000
yolov5n.pt,videos/1.jpg,11834,92.4,5554.582243000
yolov5n.pt,videos/29.jpg,12402,78.7,5643.344813000
yolov5n.pt,videos/2.jpg,12883,114.9,5649.426008000
yolov5n.pt,videos/30.jpg,18119,97.1,5584.145865000
yolov5n.pt,videos/3.jpg,10567,79.6,5571.245683000
yolov5n.pt,videos/4.jpg,12030,78.3,5480.690795000
yolov5n.pt,videos/5.jpg,14688,85.2,5552.820065000
yolov5n.pt,videos/6.jpg,13453,105.8,5574.017513000
yolov5n.pt,videos/7.jpg,15812,89.1,5668.383979000
yolov5n.pt,videos/cars2.jpg,223654,89.4,5614.787486000
yolov5n.pt,videos/cars.jpg,238211,93.9,5848.664694000
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,83.9,5566.571334000
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,93.2,6145.137502000
yolov5s.pt,videos/10.jpg,9192,242.4,5957.869782000
yolov5s.pt,videos/12.jpg,11641,192.8,5741.376056000
yolov5s.pt,videos/13.jpg,9674,191.4,5795.139593000
yolov5s.pt,videos/17.jpg,14140,284.9,5808.108915000
yolov5s.pt,videos/18.jpg,8091,197.9,5643.959881000
yolov5s.pt,videos/19.jpg,9571,261.0,5907.703090000
yolov5s.pt,videos/1.jpg,11834,181.1,5734.540069000
yolov5s.pt,videos/29.jpg,12402,167.8,5822.421893000
yolov5s.pt,videos/2.jpg,12883,192.7,5614.717583000
yolov5s.pt,videos/30.jpg,18119,180.7,5674.794503000
yolov5s.pt,videos/3.jpg,10567,150.0,5642.073014000
yolov5s.pt,videos/4.jpg,12030,150.2,5682.828703000
yolov5s.pt,videos/5.jpg,14688,157.4,5654.965296000
yolov5s.pt,videos/6.jpg,13453,190.9,5810.755413000
yolov5s.pt,videos/7.jpg,15812,160.1,5769.827799000
yolov5s.pt,videos/cars2.jpg,223654,161.6,5916.810748000
yolov5s.pt,videos/cars.jpg,238211,203.2,6248.074818000
yolov5s.pt,videos/Electric-Vehicle.jpg,84546,163.5,5915.730063000
yolov5s.pt,videos/Pigeon_Flock.jpg,508967,188.7,6170.728452000
yolov5m.pt,videos/10.jpg,9192,451.9,6749.712509000
yolov5m.pt,videos/12.jpg,11641,431.3,6520.227853000
yolov5m.pt,videos/13.jpg,9674,433.0,6539.692538000
yolov5m.pt,videos/17.jpg,14140,590.5,6696.039333000
yolov5m.pt,videos/18.jpg,8091,477.6,6646.577694000
yolov5m.pt,videos/19.jpg,9571,553.9,6538.601311000
yolov5m.pt,videos/1.jpg,11834,404.9,6575.343461000
yolov5m.pt,videos/29.jpg,12402,355.6,6595.557310000
yolov5m.pt,videos/2.jpg,12883,478.8,6697.560495000
yolov5m.pt,videos/30.jpg,18119,420.2,6550.216237000
yolov5m.pt,videos/3.jpg,10567,325.6,6420.425896000
yolov5m.pt,videos/4.jpg,12030,343.2,6468.154470000
yolov5m.pt,videos/5.jpg,14688,437.3,6615.476234000
yolov5m.pt,videos/6.jpg,13453,420.1,6563.332061000
yolov5m.pt,videos/7.jpg,15812,356.2,6540.546324000
yolov5m.pt,videos/cars2.jpg,223654,358.6,6666.372254000
yolov5m.pt,videos/cars.jpg,238211,417.9,6927.603941000
yolov5m.pt,videos/Electric-Vehicle.jpg,84546,359.6,6639.820522000
yolov5m.pt,videos/Pigeon_Flock.jpg,508967,479.7,6813.242556000
yolov5l.pt,videos/10.jpg,9192,798.0,8053.371208000
yolov5l.pt,videos/12.jpg,11641,842.2,7714.186707000
yolov5l.pt,videos/13.jpg,9674,780.1,7690.803653000
yolov5l.pt,videos/17.jpg,14140,1089.2,7810.695814000
yolov5l.pt,videos/18.jpg,8091,816.8,7477.039935000
yolov5l.pt,videos/19.jpg,9571,1104.8,7905.662348000
yolov5l.pt,videos/1.jpg,11834,809.9,7612.666517000
yolov5l.pt,videos/29.jpg,12402,669.8,7475.674903000
yolov5l.pt,videos/2.jpg,12883,865.1,7592.069051000
yolov5l.pt,videos/30.jpg,18119,773.2,7489.703217000
yolov5l.pt,videos/3.jpg,10567,956.6,8571.657940000
yolov5l.pt,videos/4.jpg,12030,830.3,8141.427410000
yolov5l.pt,videos/5.jpg,14688,1107.0,8523.616584000
yolov5l.pt,videos/6.jpg,13453,1254.2,8939.950404000
yolov5l.pt,videos/7.jpg,15812,1035.4,8537.921481000
yolov5l.pt,videos/cars2.jpg,223654,1032.8,8603.175405000
yolov5l.pt,videos/cars.jpg,238211,1346.3,9251.562310000
yolov5l.pt,videos/Electric-Vehicle.jpg,84546,1115.1,8930.802691000
yolov5l.pt,videos/Pigeon_Flock.jpg,508967,1131.5,8847.520795000
