Model Name, File Name, File Size (bytes), Inference Time (ms), E2E Delay (ms), Processing Time (s)
yolov5n.pt,videos/10.jpg,9192,111.3,7102.821712000,6.630582571029663
yolov5n.pt,videos/12.jpg,11641,113.2,6428.578867000,5.90836501121521
yolov5n.pt,videos/13.jpg,9674,115.2,6230.177902000,5.845489978790283
yolov5n.pt,videos/17.jpg,14140,139.5,6398.734169000,5.966310739517212
yolov5n.pt,videos/18.jpg,8091,144.5,6271.054301000,5.980554819107056
yolov5n.pt,videos/19.jpg,9571,133.2,6161.529462000,5.935776472091675
yolov5n.pt,videos/1.jpg,11834,97.9,6636.898089000,6.257685661315918
yolov5n.pt,videos/29.jpg,12402,93.3,6289.268026000,6.024303436279297
yolov5n.pt,videos/2.jpg,12883,109.7,6158.853195000,5.769980192184448
yolov5n.pt,videos/30.jpg,18119,115.7,6425.287403000,6.0695884227752686
yolov5n.pt,videos/3.jpg,10567,92.8,6255.350691000,5.87926459312439
yolov5n.pt,videos/4.jpg,12030,87.2,6238.385778000,5.9142351150512695
yolov5n.pt,videos/5.jpg,14688,88.1,6380.656107000,5.996573209762573
yolov5n.pt,videos/6.jpg,13453,101.7,6441.481796000,5.9617462158203125
yolov5n.pt,videos/7.jpg,15812,93.5,6300.413721000,5.9032886028289795
yolov5n.pt,videos/cars2.jpg,223654,100.1,6429.698939000,5.9597015380859375
yolov5n.pt,videos/cars.jpg,238211,102.0,6687.385026000,6.066388130187988
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,107.2,6491.673733000,6.0231242179870605
yolov5n.pt,videos/hd-bird.jpg,266489,82.6,6543.092968000,6.146763801574707
yolov5n.pt,videos/hd-car.jpg,282293,81.0,6497.860697000,5.990220069885254
yolov5n.pt,videos/hd-image.jpg,14667,96.9,6227.617719000,5.870211839675903
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,97.6,6512.326302000,5.998767137527466
yolov5n.pt,videos/10.jpg,9192,108.6,6400.682806000,6.056625843048096
yolov5n.pt,videos/12.jpg,11641,123.8,6447.251046000,5.953383445739746
yolov5n.pt,videos/13.jpg,9674,107.8,6487.460050000,6.0097596645355225
yolov5n.pt,videos/17.jpg,14140,132.6,6172.705932000,5.873556852340698
yolov5n.pt,videos/18.jpg,8091,112.4,6092.772482000,5.8563103675842285
yolov5n.pt,videos/19.jpg,9571,139.4,6227.526579000,5.909657955169678
yolov5n.pt,videos/1.jpg,11834,104.8,6343.922128000,6.016564130783081
yolov5n.pt,videos/29.jpg,12402,90.5,6318.140560000,5.857341766357422
yolov5n.pt,videos/2.jpg,12883,110.4,6205.558517000,5.864428758621216
