Model Name, File Name,File Size (bytes),Inference Time (ms),E2E Delay (ms)
yolov5n.pt,videos/10.jpg,9192,206.4,11183.649516000
yolov5n.pt,videos/12.jpg,11641,274.4,6150.561254000
yolov5n.pt,videos/13.jpg,9674,197.2,6125.490876000
yolov5n.pt,videos/17.jpg,14140,237.3,6143.988831000
yolov5n.pt,videos/17.mp4,1055736,142.3,28669.575763000
yolov5n.pt,videos/18.jpg,8091,252.2,6345.554442000
yolov5n.pt,videos/19.jpg,9571,217.9,6140.854625000
yolov5n.pt,videos/1.jpg,11834,199.9,6139.122518000
yolov5n.pt,videos/29.jpg,12402,129.6,6140.616722000
yolov5n.pt,videos/2.jpg,12883,256.3,6034.752475000
yolov5n.pt,videos/30.jpg,18119,204.3,6447.910511000
yolov5n.pt,videos/3.jpg,10567,130.3,6141.122822000
yolov5n.pt,videos/4.jpg,12030,178.5,6152.202018000
yolov5n.pt,videos/5.jpg,14688,202.8,6334.905370000
yolov5n.pt,videos/6.jpg,13453,189.1,6341.059465000
yolov5n.pt,videos/7.jpg,15812,181.8,6138.972560000
yolov5n.pt,videos/7.mp4,1055736,145.2,29083.427501000
yolov5n.pt,videos/cars2.jpg,223654,184.2,6137.491949000
yolov5n.pt,videos/cars.jpg,238211,174.5,6237.383558000
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,141.6,6243.744088000
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,179.9,6346.945514000
yolov5s.pt,videos/10.jpg,9192,396.7,6769.309386000
yolov5s.pt,videos/12.jpg,11641,408.4,6751.311630000
yolov5s.pt,videos/13.jpg,9674,401.8,6743.146108000
yolov5s.pt,videos/17.jpg,14140,514.9,6763.488046000
yolov5s.pt,videos/17.mp4,1055736,313.8,52430.116327000
yolov5s.pt,videos/18.jpg,8091,450.0,6772.108269000
yolov5s.pt,videos/19.jpg,9571,508.9,6940.104116000
yolov5s.pt,videos/1.jpg,11834,398.7,6551.906076000
yolov5s.pt,videos/29.jpg,12402,323.0,6550.709903000
yolov5s.pt,videos/2.jpg,12883,689.8,7158.258882000
yolov5s.pt,videos/30.jpg,18119,596.6,7368.514895000
yolov5s.pt,videos/3.jpg,10567,496.5,6959.837317000
yolov5s.pt,videos/4.jpg,12030,412.7,6959.123183000
yolov5s.pt,videos/5.jpg,14688,487.2,6960.383963000
yolov5s.pt,videos/6.jpg,13453,486.2,6871.098605000
yolov5s.pt,videos/7.jpg,15812,488.5,7051.035531000
yolov5s.pt,videos/7.mp4,1055736,396.5,63892.076492000
yolov5s.pt,videos/cars2.jpg,223654,459.5,7166.024780000
yolov5s.pt,videos/cars.jpg,238211,473.9,7163.485361000
yolov5s.pt,videos/Electric-Vehicle.jpg,84546,471.8,7056.557011000
yolov5s.pt,videos/Pigeon_Flock.jpg,508967,562.3,7272.261077000
yolov5m.pt,videos/10.jpg,9192,1225.9,8595.533007000
yolov5m.pt,videos/12.jpg,11641,1224.6,8699.695513000
yolov5m.pt,videos/13.jpg,9674,1297.5,8806.821042000
yolov5m.pt,videos/17.jpg,14140,1674.4,9203.463695000
yolov5m.pt,videos/17.mp4,1055736,1039.2,149236.271836000
yolov5m.pt,videos/18.jpg,8091,1205.3,9358.840061000
yolov5m.pt,videos/19.jpg,9571,1593.7,9108.179942000
yolov5m.pt,videos/1.jpg,11834,1032.4,8497.746094000
yolov5m.pt,videos/29.jpg,12402,878.6,8387.880775000
yolov5m.pt,videos/2.jpg,12883,1160.5,8807.390257000
yolov5m.pt,videos/30.jpg,18119,1005.4,8594.209643000
yolov5m.pt,videos/3.jpg,10567,1084.3,8598.535335000
yolov5m.pt,videos/4.jpg,12030,966.8,8603.632342000
yolov5m.pt,videos/5.jpg,14688,1090.9,8802.683613000
yolov5m.pt,videos/6.jpg,13453,1281.6,8701.120103000
yolov5m.pt,videos/7.jpg,15812,1076.9,8696.888115000
yolov5m.pt,videos/7.mp4,1055736,962.4,138651.072285000
yolov5m.pt,videos/cars2.jpg,223654,1086.3,8796.350340000
yolov5m.pt,videos/cars.jpg,238211,1202.6,9006.575499000
yolov5m.pt,videos/Electric-Vehicle.jpg,84546,881.0,8598.380511000
yolov5m.pt,videos/Pigeon_Flock.jpg,508967,1001.4,9007.810909000
