Model Name, File Name,File Size (bytes),Inference Time (ms),E2E Delay (ms)
yolov5n.pt,videos/10.jpg,9192,301.7,8182.202690000
yolov5n.pt,videos/12.jpg,11641,270.6,6652.406854000
yolov5n.pt,videos/13.jpg,9674,270.0,6663.503767000
yolov5n.pt,videos/14.jpg,9705,219.1,6745.168524000
yolov5n.pt,videos/15.jpg,9728,275.3,6652.057855000
yolov5n.pt,videos/15.mp4,5253880,170.7,156898.545637000
yolov5n.pt,videos/16.jpeg,66521,186.9,6835.447494000
yolov5n.pt,videos/17.jpg,14140,350.0,6753.985264000
yolov5n.pt,videos/17.mp4,1055736,179.4,34611.370801000
yolov5n.pt,videos/18.jpg,8091,274.4,6700.159542000
yolov5n.pt,videos/19.jpg,9571,370.7,6811.727172000
yolov5n.pt,videos/1.jpg,11834,210.4,6752.818220000
yolov5n.pt,videos/1.mp4,5485935,178.5,79679.056258000
yolov5n.pt,videos/27.jpg,10115,213.1,6640.022284000
yolov5n.pt,videos/28.jpg,12148,211.6,6548.326506000
yolov5n.pt,videos/29.jpg,12402,196.7,6859.874794000
yolov5n.pt,videos/29.mp4,5253880,181.5,165299.141095000
yolov5n.pt,videos/2.jpg,12883,267.7,6830.337931000
yolov5n.pt,videos/30.jpg,18119,262.3,6632.149744000
yolov5n.pt,videos/32.mp4,2112761,228.6,318729.771156000
yolov5n.pt,videos/3.jpg,10567,200.1,6931.193875000
yolov5n.pt,videos/3.mp4,2112761,239.5,336924.073141000
yolov5n.pt,videos/4.jpg,12030,196.9,6771.605198000
yolov5n.pt,videos/5.jpg,14688,194.8,6703.450376000
yolov5n.pt,videos/6.jpg,13453,267.4,6750.219165000
yolov5n.pt,videos/7.jpg,15812,197.6,6760.872793000
yolov5n.pt,videos/7.mp4,1055736,166.9,33989.538369000
yolov5n.pt,videos/8.jpg,11449,254.1,6750.536348000
yolov5n.pt,videos/8.mp4,2107842,169.9,75415.827266000
yolov5n.pt,videos/9.jpg,13286,228.3,6737.398574000
yolov5n.pt,videos/9.mkv,5247430,170.6,150512.905538000
yolov5s.pt,videos/10.jpg,9192,495.4,7264.567326000
yolov5s.pt,videos/12.jpg,11641,585.1,7449.342866000
yolov5s.pt,videos/13.jpg,9674,435.2,7258.402058000
yolov5s.pt,videos/14.jpg,9705,433.5,7178.231976000
yolov5s.pt,videos/15.jpg,9728,439.0,7318.679850000
yolov5s.pt,videos/15.mp4,5253880,391.2,322219.281025000
yolov5s.pt,videos/16.jpeg,66521,405.2,7238.305767000
yolov5s.pt,videos/17.jpg,14140,694.7,7574.210818000
yolov5s.pt,videos/17.mp4,1055736,381.4,62155.155583000
yolov5s.pt,videos/18.jpg,8091,500.5,7265.215749000
yolov5s.pt,videos/19.jpg,9571,607.3,7159.531764000
yolov5s.pt,videos/1.jpg,11834,497.3,7374.907431000
yolov5s.pt,videos/1.mp4,5485935,371.8,140048.381194000
yolov5s.pt,videos/27.jpg,10115,480.5,7501.377876000
yolov5s.pt,videos/28.jpg,12148,482.4,7194.413759000
yolov5s.pt,videos/29.jpg,12402,408.1,7438.602662000
yolov5s.pt,videos/29.mp4,5253880,375.3,312752.808017000
yolov5s.pt,videos/2.jpg,12883,433.6,7194.682266000
yolov5s.pt,videos/30.jpg,18119,589.3,7318.944913000
yolov5s.pt,videos/32.mp4,2112761,485.9,647915.120268000
yolov5s.pt,videos/3.jpg,10567,394.8,7242.180969000
