Model Name, File Name, File Size (bytes), Inference Time (ms), E2E Delay (ms)
yolov5n.pt,videos/10.jpg,9192,380.6,8347.575059000
yolov5n.pt,videos/12.jpg,11641,284.8,7057.583954000
yolov5n.pt,videos/13.jpg,9674,358.3,7272.165593000
yolov5n.pt,videos/17.jpg,14140,315.0,7274.627726000
yolov5n.pt,videos/18.jpg,8091,297.0,7100.475781000
yolov5n.pt,videos/19.jpg,9571,374.9,7060.678800000
yolov5n.pt,videos/1.jpg,11834,269.8,7054.048475000
yolov5n.pt,videos/29.jpg,12402,235.2,7071.351418000
yolov5n.pt,videos/2.jpg,12883,281.5,6951.334055000
yolov5n.pt,videos/30.jpg,18119,297.3,7177.697620000
yolov5n.pt,videos/3.jpg,10567,208.8,6918.189656000
yolov5n.pt,videos/4.jpg,12030,275.0,7047.503284000
yolov5n.pt,videos/5.jpg,14688,265.5,7101.020807000
yolov5n.pt,videos/6.jpg,13453,295.5,7343.155092000
yolov5n.pt,videos/7.jpg,15812,220.1,7003.360232000
yolov5n.pt,videos/cars2.jpg,223654,265.6,7198.949043000
yolov5n.pt,videos/cars.jpg,238211,213.1,7568.875576000
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,254.9,7346.279921000
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,259.3,7204.467023000
yolov5s.pt,videos/10.jpg,9192,675.8,7711.172313000
yolov5s.pt,videos/12.jpg,11641,622.4,7941.980830000
yolov5s.pt,videos/13.jpg,9674,588.0,7806.575195000
yolov5s.pt,videos/17.jpg,14140,791.8,7693.448204000
yolov5s.pt,videos/18.jpg,8091,430.0,7535.012925000
yolov5s.pt,videos/19.jpg,9571,742.7,7934.222977000
yolov5s.pt,videos/1.jpg,11834,620.5,8073.177514000
yolov5s.pt,videos/29.jpg,12402,594.0,8021.604385000
yolov5s.pt,videos/2.jpg,12883,698.1,7922.394760000
yolov5s.pt,videos/30.jpg,18119,618.8,7847.258144000
yolov5s.pt,videos/3.jpg,10567,518.2,8098.770689000
yolov5s.pt,videos/4.jpg,12030,515.0,8308.351358000
yolov5s.pt,videos/5.jpg,14688,512.2,8072.971888000
yolov5s.pt,videos/6.jpg,13453,695.3,8676.094445000
yolov5s.pt,videos/7.jpg,15812,482.0,7908.937938000
yolov5s.pt,videos/cars2.jpg,223654,564.1,8148.022677000
yolov5s.pt,videos/cars.jpg,238211,488.9,8332.239323000
yolov5s.pt,videos/Electric-Vehicle.jpg,84546,503.2,8070.187293000
yolov5s.pt,videos/Pigeon_Flock.jpg,508967,504.7,8068.906889000
yolov5m.pt,videos/10.jpg,9192,1292.5,9865.686533000
yolov5m.pt,videos/12.jpg,11641,1508.0,10230.658124000
yolov5m.pt,videos/13.jpg,9674,1360.8,9810.650629000
yolov5m.pt,videos/17.jpg,14140,1818.6,9909.647643000
yolov5m.pt,videos/18.jpg,8091,1293.6,9597.176922000
yolov5m.pt,videos/19.jpg,9571,1762.6,9967.224455000
yolov5m.pt,videos/1.jpg,11834,1090.0,9241.659078000
yolov5m.pt,videos/29.jpg,12402,1177.5,9534.362702000
yolov5m.pt,videos/2.jpg,12883,1417.3,9648.149320000
yolov5m.pt,videos/30.jpg,18119,1351.4,9563.354970000
yolov5m.pt,videos/3.jpg,10567,994.7,9369.075083000
yolov5m.pt,videos/4.jpg,12030,1167.5,9594.675105000
yolov5m.pt,videos/5.jpg,14688,1203.3,9455.155549000
yolov5m.pt,videos/6.jpg,13453,1041.0,9292.572238000
yolov5m.pt,videos/7.jpg,15812,1041.9,9699.973831000
yolov5m.pt,videos/cars2.jpg,223654,1070.4,9220.842303000
yolov5m.pt,videos/cars.jpg,238211,1278.5,9903.932247000
yolov5m.pt,videos/Electric-Vehicle.jpg,84546,1069.5,9365.161557000
yolov5m.pt,videos/Pigeon_Flock.jpg,508967,1379.3,10253.892017000
yolov5l.pt,videos/10.jpg,9192,2445.3,12588.821545000
yolov5l.pt,videos/12.jpg,11641,2994.4,13210.758143000
yolov5l.pt,videos/13.jpg,9674,2213.6,11765.238149000
yolov5l.pt,videos/17.jpg,14140,3504.5,13590.832112000
yolov5l.pt,videos/18.jpg,8091,2564.0,12376.200196000
yolov5l.pt,videos/19.jpg,9571,2900.8,12658.695384000
yolov5l.pt,videos/1.jpg,11834,2396.0,12335.994120000
yolov5l.pt,videos/29.jpg,12402,2103.4,11747.805211000
yolov5l.pt,videos/2.jpg,12883,2970.6,12801.101227000
yolov5l.pt,videos/30.jpg,18119,2386.9,12105.079291000
yolov5l.pt,videos/3.jpg,10567,1778.9,11775.978410000
yolov5l.pt,videos/4.jpg,12030,1876.3,11807.313059000
yolov5l.pt,videos/5.jpg,14688,1704.5,11205.150511000
yolov5l.pt,videos/6.jpg,13453,2607.0,12469.317361000
yolov5l.pt,videos/7.jpg,15812,2253.2,11861.106229000
yolov5l.pt,videos/cars2.jpg,223654,1758.0,11489.433015000
yolov5l.pt,videos/cars.jpg,238211,2624.3,12901.129764000
yolov5l.pt,videos/Electric-Vehicle.jpg,84546,2075.6,11438.030140000
yolov5l.pt,videos/Pigeon_Flock.jpg,508967,2446.6,12335.386143000
